slug	name	missing	official_url	authority
c-1001	家畜人工授精師	pass_rate|applicants	https://www.maff.go.jp/j/chikusan/kikaku/230213.html	各都道府県知事(家畜改良増殖法)。所管:農林水産省
c-1002	総括畜産コンサルタント	pass_rate|applicants	https://jlia.lin.gr.jp/next-chikusan/guide/chikusan_consul/	公益社団法人 中央畜産会
c-1003	初生雛鑑別師	pass_rate|applicants	http://jlta.lin.gr.jp/chick/admission.html	公益社団法人 畜産技術協会
c-1004	林業技士	pass_rate|applicants	https://www.jafta.or.jp/contents/gishi/	一般社団法人 日本森林技術協会(JAFTA)
c-1005	技術士(農業部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1006	技術士(森林部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1007	技術士(水産部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1101	食品衛生管理者	pass_rate|applicants	https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000049348.html	厚生労働省(食品衛生法。登録講習会は日本食品衛生協会等)
c-1102	食品冷凍技士	pass_rate|applicants	https://www.jsrae.or.jp/site/certificate/	公益社団法人 日本冷凍空調学会
c-1103	食品衛生責任者	pass_rate|applicants	https://www.toshoku.or.jp/training/	各都道府県知事(保健所)。養成講習会は各都道府県の食品衛生協会等
c-1201	ボイラー・タービン主任技術者	pass_rate|applicants	https://www.meti.go.jp/information/license/c_text30.html	経済産業省(産業保安監督部)
c-1202	航空工場検査員	pass_rate|applicants	https://www.meti.go.jp/information/license/c_text15.html	経済産業省(航空機製造事業法)。※国家試験は2019年7月廃止
c-1207	2級電気工事施工管理技士	applicants	https://www.fcip-shiken.jp/den2/	一般財団法人 建設業振興基金
c-1210	電気通信主任技術者(線路)	pass_rate|applicants	https://www.dekyo.or.jp/shiken/chief/	一般財団法人 日本データ通信協会 電気通信国家試験センター
c-1212	2級計装士	pass_rate|applicants	https://www.keiso.or.jp/sikenn/	一般社団法人 日本計装工業会
c-1214	医薬部外品責任技術者	pass_rate|applicants	https://www.tmiph.metro.tokyo.lg.jp/k_yakuji/i-sinsa/cosmetics/sekinin/	厚生労働省/都道府県
c-1215	医療機器責任技術者	pass_rate|applicants	https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/seizou/index.html	厚生労働省(薬機法に基づく任用資格。講習は公益財団法人 医療機器センター(JAAME))
c-1216	原子炉主任技術者	applicants	https://www.nra.go.jp/procedure/examination/index.html	原子力規制委員会
c-1217	核燃料取扱主任者	applicants	https://www.nra.go.jp/procedure/examination/index.html	原子力規制委員会
c-1218	第1種放射線取扱主任者	applicants	https://www.nustec.or.jp/syunin/syunin01.html	公益財団法人 原子力安全技術センター(原子力規制委員会登録試験機関)
c-1219	第2種放射線取扱主任者	applicants	https://www.nustec.or.jp/syunin/syunin01.html	公益財団法人 原子力安全技術センター(原子力規制委員会登録試験機関)
c-1222	甲種火薬類製造保安責任者	pass_rate|applicants	https://www.zenkakyo-ex.or.jp/hoansekininsha2.html	都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会
c-1223	乙種火薬類製造保安責任者	pass_rate|applicants	https://www.zenkakyo-ex.or.jp/hoansekininsha2.html	都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会
c-1224	丙種火薬類製造保安責任者	pass_rate|applicants	https://www.zenkakyo-ex.or.jp/hoansekininsha.html	都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会
c-1225	高圧ガス製造保安責任者(甲種化学)	applicants	https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html	高圧ガス保安協会(KHK)
c-1226	高圧ガス製造保安責任者(甲種機械)	applicants	https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html	高圧ガス保安協会(KHK)
c-1227	高圧ガス製造保安責任者(第一種冷凍機械)	applicants	https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html	高圧ガス保安協会(KHK)
c-1232	技術士(電気電子部門)	applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1233	技術士(金属部門)	pass_rate	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1235	技術士(生物工学部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1236	技術士(資源工学部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1237	発破技士	pass_rate|applicants	https://www.exam.or.jp/introduction/h_shokai341/	公益財団法人 安全衛生技術試験協会(免許交付は都道府県労働局長)
c-1238	1級電気通信工事施工管理技士	applicants	https://www.jctc.jp/exam/dentsu-1/	一般財団法人 全国建設研修センター
c-1239	2級電気通信工事施工管理技士	applicants	https://www.jctc.jp/exam/dentsu-2/	一般財団法人 全国建設研修センター
c-1303	木造建築士	applicants	https://www.jaeic.or.jp/shiken/mk/	公益財団法人 建築技術教育普及センター
c-1304	建築設備士	applicants	https://www.jaeic.or.jp/shiken/bmee/index.html	公益財団法人 建築技術教育普及センター
c-1306	2級建設機械施工技士	pass_rate|applicants	https://jcmanet-shiken.jp/	一般社団法人 日本建設機械施工協会(国土交通省所管)
c-1307	インテリアプランナー	applicants	https://www.jaeic.or.jp/shiken/ip/	公益財団法人 建築技術教育普及センター(JAEIC)
c-1309	商業施設士	pass_rate|applicants	http://www.jtocs.or.jp/pages/cmspace_d/cmspace_d02-04.html	公益社団法人 商業施設技術団体連合会(JTOCS)
c-1310	建築設備検査員	pass_rate	https://www.beec.or.jp/course/mlit_course1/	国土交通大臣登録講習機関(一般財団法人 日本建築設備・昇降機センター 等)
c-1311	昇降機等検査員	pass_rate|applicants	https://www.beec.or.jp/course/mlit_course2/	国土交通大臣登録講習機関(一般財団法人 日本建築設備・昇降機センター 等)
c-1312	特定建築物調査員	pass_rate|applicants	https://www.mlit.go.jp/jutakukentiku/build/jutakukentiku_house_tk_000060.html	国土交通大臣登録講習機関(一般財団法人 日本建築防災協会 等)
c-1314	設備管理士	pass_rate|applicants		
c-1316	2級建築施工管理技士	applicants	https://www.fcip-shiken.jp/ken2/	一般財団法人 建設業振興基金
c-1319	鉄骨製作管理技術者	pass_rate	https://www.seec.or.jp/management/overview/	一般社団法人 鉄骨技術者教育センター
c-1320	建築CAD検定試験准1級	applicants	https://www.aacl.gr.jp/22jisshi-youkou01.html	一般社団法人 全国建築CAD連盟(AACL)
c-1321	建築CAD検定試験2級	applicants	https://www.aacl.gr.jp/22jisshi-youkou01.html	一般社団法人 全国建築CAD連盟(AACL)
c-1322	建築CAD検定試験3級	applicants	https://www.aacl.gr.jp/22jisshi-youkou01.html	一般社団法人 全国建築CAD連盟(AACL)
c-1323	建設業経理士1級	applicants	https://www.keiri-kentei.jp/exam/	一般財団法人 建設業振興基金
c-1324	建設業経理士2級	applicants	https://www.keiri-kentei.jp/exam/	一般財団法人 建設業振興基金
