slug,aliases,note
c-3207,宅建;宅建士;タッケン,略称
c-2515,FP1級;1級FP;ファイナンシャルプランナー1級,略称
c-2516,FP2級;2級FP;ファイナンシャルプランナー2級,略称
c-2517,FP3級;3級FP;ファイナンシャルプランナー3級,略称
c-3815,エクセル,カナ表記
c-3816,エクセル,カナ表記
c-3849,エクセル,カナ表記
c-3850,エクセル,カナ表記
c-3851,エクセル,カナ表記
c-3817,ワード,カナ表記
c-3818,ワード,カナ表記
c-3852,ワード,カナ表記
c-3853,ワード,カナ表記
c-3854,ワード,カナ表記
c-3838,パワーポイント;パワポ,カナ表記・略称
c-3847,パワーポイント;パワポ,カナ表記・略称
c-1203,電験一種;電験1種;デンケン,略称
c-1204,電験二種;電験2種;デンケン,略称
c-1205,電験三種;電験3種;デンケン,略称
c-6808,電工一種;一種電工;第1種電気工事士,略称・表記ゆれ
c-6809,電工二種;二種電工;第2種電気工事士,略称・表記ゆれ
c-2510,社労士;シャロウシ,略称
c-3307,英検1級;エイケン,略称
c-3308,英検準1級;エイケン,略称
c-3309,英検2級;エイケン,略称
c-3511,漢検1級;カンケン,略称
c-3512,漢検2級;カンケン,略称
c-3209,マン管,略称
c-3210,管業,略称
c-1565,セキスペ;登録セキスペ;RISS,略称
c-9001,セキュマネ;SG,略称
c-1505,FE,略称
c-1504,AP,略称
c-1538,iパス,略称
c-2501,CPA,略称
c-1301,1級建築士,表記ゆれ
c-1302,2級建築士,表記ゆれ
c-6718,玉掛け;玉かけ,表記ゆれ
c-5206,危険物甲種,語順ゆれ
c-5207,乙4;乙四;危険物乙種,略称・語順ゆれ
c-5208,危険物丙種,語順ゆれ
c-3322,トーイック;トイック,カナ表記
c-3323,トーイック;トイック,カナ表記
c-3324,トーイック;トイック,カナ表記
c-1502,ネスペ;NW,略称
c-1510,デスペ;DB,略称
c-1508,PM,略称
c-1904,PT,略称
c-1905,OT,略称
c-3712,レセプト,関連語
c-1603,エネ管,略称
c-1555,Webデザイン技能士,表記ゆれ
c-1563,ウェブクリエイター,カナ表記
c-1564,ウェブクリエイター,カナ表記
c-1553,ウェブクリエイター,カナ表記
c-1554,ウェブクリエイター,カナ表記
c-1551,ウェブデザイナー検定,カナ表記
c-1552,ウェブデザイナー検定,カナ表記
c-3623,ボキ,読み
c-3624,ボキ,読み
c-3625,ボキ,読み
