slug,careers,source
c-3207,不動産仲介営業、賃貸仲介、不動産管理、分譲・売買仲介、金融機関の不動産担保評価,https://shigoto.mhlw.go.jp/User/Search/Top
c-3209,マンション管理士、マンション管理コンサルタント、管理組合の運営支援、不動産管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-3210,管理業務主任者、マンション管理会社のフロント業務、管理組合対応、不動産管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-3203,土地家屋調査士、表示登記の調査・測量、境界確定、不動産表示に関する申請代理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1408,測量技術者、測量会社、建設コンサルタント、地図・GIS技術者、土地家屋調査士補助,https://shigoto.mhlw.go.jp/User/Search/Top
c-1409,測量補助技術者、測量会社、建設コンサルタント、土地家屋調査士事務所スタッフ,https://shigoto.mhlw.go.jp/User/Search/Top
c-1505,プログラマ、システムエンジニア、社内SE、ITサポート、運用・保守エンジニア,https://shigoto.mhlw.go.jp/User/Search/Top
c-1504,システムエンジニア、ITエンジニア、プロジェクトリーダー、社内SE、ITコンサルタント補助,https://shigoto.mhlw.go.jp/User/Search/Top
c-1538,事務職のITリテラシー活用、営業、ITサポート、DX推進担当(入門レベル),https://shigoto.mhlw.go.jp/User/Search/Top
c-1803,看護師(病院・診療所・訪問看護・介護施設・企業)、保健師・助産師への進路,https://shigoto.mhlw.go.jp/User/Search/Top
c-1804,准看護師(病院・診療所・介護施設),https://shigoto.mhlw.go.jp/User/Search/Top
c-1704,薬剤師(調剤薬局・病院・ドラッグストア・製薬企業・行政),https://shigoto.mhlw.go.jp/User/Search/Top
c-1901,臨床検査技師(病院・検査センター・健診機関),https://shigoto.mhlw.go.jp/User/Search/Top
c-1904,理学療法士(病院・リハビリ施設・介護施設・訪問リハビリ),https://shigoto.mhlw.go.jp/User/Search/Top
c-1905,作業療法士(病院・リハビリ施設・精神科・介護施設),https://shigoto.mhlw.go.jp/User/Search/Top
c-1906,歯科技工士(歯科技工所・歯科医院),https://shigoto.mhlw.go.jp/User/Search/Top
c-1907,歯科衛生士(歯科医院・病院・行政の歯科保健),https://shigoto.mhlw.go.jp/User/Search/Top
c-1908,診療放射線技師(病院・健診機関・画像診断センター),https://shigoto.mhlw.go.jp/User/Search/Top
c-2206,救急救命士(消防機関・病院・民間救急),https://shigoto.mhlw.go.jp/User/Search/Top
c-2001,管理栄養士(病院・福祉施設・学校・行政・企業・特定保健指導),https://shigoto.mhlw.go.jp/User/Search/Top
c-2002,栄養士(給食施設・福祉施設・保育所・社員食堂),https://shigoto.mhlw.go.jp/User/Search/Top
c-2302,介護福祉士(介護施設・訪問介護)、サービス提供責任者、生活相談員,https://shigoto.mhlw.go.jp/User/Search/Top
c-2301,社会福祉士、生活相談員、医療ソーシャルワーカー、地域包括支援センター職員、行政の福祉職,https://shigoto.mhlw.go.jp/User/Search/Top
c-2307,精神保健福祉士(精神科医療機関・障害福祉サービス・行政),https://shigoto.mhlw.go.jp/User/Search/Top
c-2303,保育士(保育所・認定こども園・児童福祉施設)、ベビーシッター,https://shigoto.mhlw.go.jp/User/Search/Top
c-2601,幼稚園教諭(幼稚園・認定こども園),https://shigoto.mhlw.go.jp/User/Search/Top
c-2510,社会保険労務士(開業・勤務)、人事・労務、給与計算、年金相談,https://shigoto.mhlw.go.jp/User/Search/Top
c-2511,中小企業診断士、経営コンサルタント、企業内診断士、金融機関の融資・経営支援,https://shigoto.mhlw.go.jp/User/Search/Top
c-2402,司法書士(開業・補助者)、登記申請、相続・成年後見、簡裁訴訟代理,https://shigoto.mhlw.go.jp/User/Search/Top
c-2403,弁理士、特許事務所、企業の知的財産部、特許・商標出願,https://shigoto.mhlw.go.jp/User/Search/Top
c-2405,通関士(通関業者・物流企業・商社の輸出入業務),https://shigoto.mhlw.go.jp/User/Search/Top
c-2501,公認会計士、監査法人、会計コンサルティング、企業の経理・財務、CFO,https://shigoto.mhlw.go.jp/User/Search/Top
c-2503,税理士(開業・勤務)、税理士法人、企業の税務・会計、資産税コンサルティング,https://shigoto.mhlw.go.jp/User/Search/Top
c-3701,行政書士(開業・補助者)、許認可申請、各種法務書類作成,https://shigoto.mhlw.go.jp/User/Search/Top
c-2515,ファイナンシャルプランナー、金融機関・保険・証券の営業、住宅ローン相談、資産運用相談,https://shigoto.mhlw.go.jp/User/Search/Top
c-2516,金融機関・保険・不動産の営業、ファイナンシャルプランニング、家計・保険の相談,https://shigoto.mhlw.go.jp/User/Search/Top
