slug_a,slug_b,relation,note
c-3625,c-3624,step_up,商業簿記の基礎から、工業簿記を含む2級へ
c-3624,c-3623,step_up,2級から、より高度な会計の1級へ
c-3629,c-3628,step_up,
c-3628,c-3627,step_up,
c-3627,c-3626,step_up,全経上級は税理士試験の受験資格にもなる
c-2517,c-2516,step_up,実務で評価される2級へ
c-2516,c-2515,step_up,最上位の1級へ
c-3309,c-3308,step_up,
c-3308,c-3307,step_up,
c-1538,c-1505,step_up,ITリテラシーの入門から、技術者の登竜門へ
c-1505,c-1504,step_up,応用力・管理寄りの応用情報へ
c-6809,c-6808,step_up,一般住宅から、高圧設備まで扱える第一種へ
c-1205,c-1204,step_up,
c-1204,c-1203,step_up,
c-5208,c-5207,step_up,
c-5207,c-5206,step_up,全種類を扱える甲種へ(受験資格あり)
c-6703,c-6702,step_up,
c-6702,c-6701,step_up,
c-1316,c-1315,step_up,大規模工事の監理技術者になれる1級へ
c-1405,c-1404,step_up,大規模工事の監理技術者になれる1級へ
c-1303,c-1302,step_up,
c-1302,c-1301,step_up,規模・用途を問わず設計できる一級へ
c-1409,c-1408,step_up,測量計画まで担える測量士へ
c-4502,c-4501,step_up,工事もできる甲種へ
c-2203,c-2202,step_up,全業種に対応できる第一種へ
c-3403,c-3402,step_up,
c-3402,c-3401,step_up,
c-2409,c-2408,step_up,
c-2408,c-2407,step_up,
c-1409,c-3203,exemption,測量士補を持つと、土地家屋調査士試験の午前試験が免除
c-1408,c-3203,exemption,測量士を持つと、土地家屋調査士試験の午前試験が免除
c-1302,c-3203,exemption,二級建築士を持つと、土地家屋調査士試験の午前試験が免除
c-1301,c-3203,exemption,一級建築士を持つと、土地家屋調査士試験の午前試験が免除
c-1205,c-6809,exemption,電験(電気主任技術者)取得者は、電気工事士の筆記試験が免除
c-1205,c-6808,exemption,電験(電気主任技術者)取得者は、電気工事士の筆記試験が免除
c-6809,c-4501,exemption,電気工事士は、消防設備士(電気系)の一部科目が免除
c-6809,c-4502,exemption,電気工事士は、消防設備士(電気系)の一部科目が免除
c-3623,c-2503,exemption,日商簿記1級は、税理士試験(会計科目)の受験資格を満たす
c-3626,c-2503,exemption,全経簿記上級は、税理士試験の受験資格を満たす
c-2302,c-2308,exemption,介護福祉士などの実務経験を経て、ケアマネの受験資格
c-3207,c-3210,combo,試験範囲が重なり同時受験も多い
c-3207,c-3209,combo,不動産系で活躍の幅が広がる
c-3209,c-3210,combo,管理組合側・管理会社側で対になる
c-3207,c-2516,combo,不動産×お金の知識で提案力UP
c-3624,c-2516,combo,経理×金融で事務・相談に強い
c-3701,c-2510,combo,独立系の士業ダブルライセンスの定番
c-3701,c-3207,combo,許認可×不動産で業務が広がる
c-2402,c-3203,combo,登記の権利×表示で連携できる
c-6809,c-5207,combo,ビルメンの定番資格の組み合わせ
