slug,hellowork_code,name,name_raw,category,major_category,scope,is_bucket,is_duplicate,type,type_confidence,type_reason,authority,official_url,eligibility,exam_format,fee,pass_rate,frequency,difficulty,related_slugs,source_checked_at,status
c-1001,1001,家畜人工授精師,家畜人工授精師,農林水産技術,農林水産・動物,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1002,1002,総括畜産コンサルタント,総括畜産コンサルタント,農林水産技術,農林水産・動物,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1003,1003,初生雛鑑別師,初生雛鑑別師,農林水産技術,農林水産・動物,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),公益社団法人 畜産技術協会,http://jlta.lin.gr.jp/chick/admission.html,満25歳以下・高校卒業以上・視力1.0以上(矯正可),養成講習＋孵化場での鑑別研修＋高等考査(実技),,,養成講習の入所考査は年2回(4月・10月),,,2026-06-18,published
c-1004,1004,林業技士,林業技士,農林水産技術,農林水産・動物,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 日本森林技術協会(JAFTA),https://www.jafta.or.jp/contents/gishi/,大学の林業関連学科卒業後に実務7年以上(短大・高専10年・高校12年)等,養成研修＋修了試験、または資格要件審査(8部門),"新規登録22,000円(更新・再登録 各3,300円)",,年1回,,,2026-06-18,published
c-1005,1005,技術士(農業部門),技術士（農業部門）,農林水産技術,農林水産・動物,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1006,1006,技術士(森林部門),技術士（森林部門）,農林水産技術,農林水産・動物,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1007,1007,技術士(水産部門),技術士（水産部門）,農林水産技術,農林水産・動物,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1099,1099,その他の農林水産技術関係資格,その他の農林水産技術関係資格,農林水産技術,農林水産・動物,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-1101,1101,食品衛生管理者,食品衛生管理者,食品技術,食品・調理・栄養,domestic,0,0,国家,high,国家資格(法律に基づく),厚生労働省(食品衛生法。登録講習会は日本食品衛生協会等),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000049348.html,医師・薬剤師等、または所定課程修了、または実務3年＋登録講習会修了 等,試験ではない任用資格(資格要件・登録講習会修了等で取得),,,,,,2026-06-18,published
c-1102,1102,食品冷凍技士,食品冷凍技士,食品技術,食品・調理・栄養,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),公益社団法人 日本冷凍空調学会,https://www.jsrae.or.jp/site/certificate/,食品の低温加工・管理等の実務3年以上、または関連課程卒＋実務1年以上 等,筆記(学識・技術)＋面接,"10,000円(別途登録料)",,年1回(2月),,,2026-06-18,published
c-1103,1103,食品衛生責任者,食品衛生責任者,食品技術,食品・調理・栄養,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1199,1199,その他の食品技術関係資格,その他の食品技術関係資格,食品技術,食品・調理・栄養,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-1201,1201,ボイラー・タービン主任技術者,ボイラー・タービン主任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),経済産業省(産業保安監督部),https://www.meti.go.jp/information/license/c_text30.html,学歴に応じた実務経験を持つ者,試験ではない認定制度(学歴・実務経験に応じて免状交付。第1種・第2種),,,随時申請,,,2026-06-18,published
c-1202,1202,航空工場検査員,航空工場検査員,鉱工業技術,機械・電気・ものづくり,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1203,1203,第一種電気主任技術者,第一種電気主任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,受験資格なし(誰でも受験可),一次=4科目(理論・電力・機械・法規)マークシート・科目合格制＋二次=2科目記述式,"13,800円(ネット申込)/14,200円(書面)",二次15.6%(令和6年度),年1回(一次8月・二次11月),,,2026-06-18,published
c-1204,1204,第二種電気主任技術者,第二種電気主任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,受験資格なし(誰でも受験可),一次=4科目(理論・電力・機械・法規)マークシート・科目合格制＋二次=2科目記述式,"13,800円(ネット申込)/14,200円(書面)",二次18.9%(令和6年度),年1回(一次8月・二次11月),,,2026-06-18,published
