slug,name,category,major_category,type,type_reason
c-9001,情報セキュリティマネジメント試験,情報処理技術者試験,IT・情報処理,国家,情報処理の促進に関する法律に基づく国家試験(IPA)
c-9002,生成AIパスポート,AI・データ活用,IT・情報処理,民間,一般社団法人生成AI活用普及協会(GUGA)認定の民間資格
c-9003,G検定(ジェネラリスト),AI・データ活用,IT・情報処理,民間,日本ディープラーニング協会(JDLA)認定の民間資格
c-9004,E資格(エンジニア),AI・データ活用,IT・情報処理,民間,日本ディープラーニング協会(JDLA)認定の民間資格
c-9005,統計検定,AI・データ活用,IT・情報処理,民間,日本統計学会公式認定の民間検定
c-9006,データサイエンティスト検定(リテラシーレベル),AI・データ活用,IT・情報処理,民間,データサイエンティスト協会認定の民間検定
c-9007,Python3エンジニア認定基礎試験,プログラミング,IT・情報処理,民間,一般社団法人Pythonエンジニア育成推進協会認定の民間試験
c-9008,Python3エンジニア認定実践試験,プログラミング,IT・情報処理,民間,一般社団法人Pythonエンジニア育成推進協会認定の民間試験
c-9009,AI実装検定,AI・データ活用,IT・情報処理,民間,AI実装検定運営委員会による民間検定
c-9010,実用英語技能検定準2級,語学検定,語学・コミュニケーション,公的,日本英語検定協会実施・文部科学省後援
c-9011,実用英語技能検定3級,語学検定,語学・コミュニケーション,公的,日本英語検定協会実施・文部科学省後援
c-9012,実用英語技能検定4級,語学検定,語学・コミュニケーション,公的,日本英語検定協会実施・文部科学省後援
c-9013,実用英語技能検定5級,語学検定,語学・コミュニケーション,公的,日本英語検定協会実施・文部科学省後援
c-9014,日本語能力試験(JLPT),語学検定,語学・コミュニケーション,公的,国際交流基金・日本国際教育支援協会が実施する公的試験
c-9016,登録日本語教員,日本語教育,教育・保育・学術,国家,日本語教育の適正・確実な実施に関する法律に基づく国家資格(2024年施行)
c-9017,一等無人航空機操縦士,無人航空機,運輸・運転・航空,国家,航空法に基づく国家資格(無人航空機操縦者技能証明・2022年開始)
c-9018,二等無人航空機操縦士,無人航空機,運輸・運転・航空,国家,航空法に基づく国家資格(無人航空機操縦者技能証明・2022年開始)
c-9019,賃貸不動産経営管理士,不動産関連,不動産,国家,賃貸住宅の管理業務等の適正化に関する法律に基づく国家資格(2021年国家資格化)
c-9020,メンタルヘルス・マネジメント検定I種(マスターコース),経営・労務,会計・金融・経営,公的,大阪商工会議所主催の公的検定
c-9021,メンタルヘルス・マネジメント検定II種(ラインケアコース),経営・労務,会計・金融・経営,公的,大阪商工会議所主催の公的検定
c-9022,メンタルヘルス・マネジメント検定III種(セルフケアコース),経営・労務,会計・金融・経営,公的,大阪商工会議所主催の公的検定
c-9023,実用数学技能検定(数学検定),筆記技能,語学・コミュニケーション,公的,日本数学検定協会実施・文部科学省後援
c-9024,eco検定(環境社会検定試験),環境,安全・環境・危険物,公的,東京商工会議所主催の公的検定
c-9025,ビジネス会計検定,会計事務,会計・金融・経営,公的,大阪商工会議所主催の公的検定
c-9026,個人情報保護士認定試験,情報管理,IT・情報処理,民間,全日本情報学習振興協会認定の民間資格
c-9027,世界遺産検定,教養検定,教育・保育・学術,民間,世界遺産アカデミー・NPO日本ユネスコ協会連盟認定の民間検定
c-9028,食生活アドバイザー,食育,食品・調理・栄養,民間,FLAネットワーク協会(一般社団法人)認定の民間資格
c-9029,ニュース時事能力検定,教養検定,教育・保育・学術,民間,日本ニュース時事能力検定協会認定の民間検定
c-9030,マーケティング検定,経営・労務,会計・金融・経営,公的,日本マーケティング協会主催・内閣府認定の公的検定
