rank,slug,name,major,gsc_imp,likely_books,note
1,c-3859,情報処理技能検定試験(データベース)1級,IT・情報処理,288,1,
2,c-5111,1級金属熱処理技能士,機械・電気・ものづくり,164,1,
3,c-3813,ICTプロフィシエンシー検定(P検)2級,IT・情報処理,107,1,
4,c-1548,C言語プログラミング能力認定試験1級,IT・情報処理,106,1,
5,c-6621,レタリング技能検定1級,機械・電気・ものづくり,82,1,
6,c-6903,砂利採取業務主任者,土木・測量・建設,71,1,
7,c-7115,1級内装仕上げ施工技能士,建築・設備,70,1,
8,c-1557,CGクリエイター検定,IT・情報処理,66,1,
9,c-5603,2級機械保全技能士,機械・電気・ものづくり,57,1,
10,c-5809,2級産業車両整備技能士,機械・電気・ものづくり,57,1,
11,c-5605,1級機械検査技能士,機械・電気・ものづくり,55,1,
12,c-5211,高圧ガス移動監視者(液化天然ガス),機械・電気・ものづくり,55,0,
13,c-7407,浄化槽清掃技術者,安全・環境・危険物,49,0,
14,c-4106,印刷営業士,商業・販売・事務,48,1,
15,c-1323,建設業経理士1級,建築・設備,47,1,
16,c-1902,衛生検査技師,医療・看護・薬,46,1,
17,c-1312,特定建築物調査員,建築・設備,44,1,
18,c-3884,検索技術者検定3級,IT・情報処理,44,1,
19,c-3710,メディカルクラーク(医療事務技能審査),商業・販売・事務,35,1,
20,c-5720,1級プリント配線板製造技能士,機械・電気・ものづくり,34,1,
21,c-2505,ファイナンシャルプランナー(CFP/AFP),会計・金融・経営,30,1,
22,c-4809,小型特殊自動車免許,運輸・運転・航空,29,0,
23,c-6636,2級工業包装技能士,機械・電気・ものづくり,26,1,
24,c-1401,第1種ダム水路主任技術者,土木・測量・建設,24,0,
25,c-6617,トレース技能検定1級,機械・電気・ものづくり,23,1,
26,c-1503,システムアーキテクト,IT・情報処理,22,0,
27,c-7121,2級カーテンウォール施工技能士,建築・設備,21,1,
28,c-3840,MOS Outlook,IT・情報処理,20,1,
29,c-4331,1級ピアノ調律技能士,美容・サービス・スポーツ,20,1,
30,c-5417,1級めっき技能士,機械・電気・ものづくり,20,1,
31,c-3842,日商PC検定試験(文書作成)2級,IT・情報処理,19,1,
32,c-4519,核燃料物質等危険物運搬警備業務検定2級,安全・環境・危険物,19,1,
33,c-3724,介護事務管理士,商業・販売・事務,17,1,
34,c-6405,1級強化プラスチック成形技能士,機械・電気・ものづくり,17,1,
35,c-3610,珠算能力検定初段,会計・金融・経営,14,1,
36,c-3718,医療管理秘書士,商業・販売・事務,14,1,
37,c-2702,司書補,教育・保育・学術,13,0,
38,c-6601,1級表装技能士,機械・電気・ものづくり,10,1,
39,c-7123,2級サッシ施工技能士,建築・設備,8,1,
40,c-1325,建設業経理事務士3級,建築・設備,7,1,
41,c-3862,情報処理技能検定試験(データベース)4級,IT・情報処理,7,1,
42,c-4113,3級商品装飾展示技能士,商業・販売・事務,7,1,
43,c-3015,MIDI検定1級,デザイン・美術・文化,6,1,
44,c-7018,1級タイル張り技能士,建築・設備,6,1,
45,c-6810,CATV技術者,電気・通信,6,0,
46,c-1616,地質調査技士(区分なし又は旧「土質」),安全・環境・危険物,5,1,
47,c-2804,専修学校教員認定,教育・保育・学術,5,0,
48,c-1321,建築CAD検定試験2級,建築・設備,4,1,
49,c-3728,1級金融窓口サービス技能士,商業・販売・事務,4,1,
50,c-7114,2級厨房設備施工技能士,建築・設備,4,1,
51,c-2916,健康管理士一般指導員,美容・サービス・スポーツ,3,1,
52,c-3865,ディジタル技術検定3級,IT・情報処理,3,1,
53,c-4323,ブライダルプランナー検定1級,美容・サービス・スポーツ,3,1,
54,c-6613,CAD利用技術者2級,機械・電気・ものづくり,3,1,
55,c-2610,社会教育主事,教育・保育・学術,3,0,
56,c-4414,野菜ソムリエ,食品・調理・栄養,3,0,
57,c-3204,土地改良換地士,不動産,2,1,
58,c-3521,ビジネス能力検定ジョブパス1級,語学・コミュニケーション,2,1,
59,c-3720,医事コンピュータ技能検定準1級,商業・販売・事務,2,1,
60,c-4111,1級商品装飾展示技能士,商業・販売・事務,2,1,
61,c-4310,2級舞台機構調整技能士,美容・サービス・スポーツ,2,1,
62,c-5411,1級工場板金技能士,機械・電気・ものづくり,2,1,
63,c-6624,レタリング技能検定4級,機械・電気・ものづくり,2,1,
