occ_id,summary,work,skills,source
o-0001,2級電気工事施工管理技士は、中小規模の電気工事の施工管理を担う国家資格者です。,電気設備工事の現場で、主任技術者として工程・品質・安全・原価を管理します。施工計画の作成や作業員の指揮、検査・書類作成を行い、工事を適切に進めます。,電気工事施工管理技士の資格、電気設備の知識、施工管理、図面の理解、安全管理、調整力,編集部による職種解説
o-0002,3DCGクリエイターは、3次元コンピュータグラフィックスを制作する職種です。CG・画像処理の検定やツールスキルが評価されます。,3DCGクリエイターは、専用ソフトで3次元のキャラクター・背景・映像を制作する仕事です。モデリング・テクスチャ・ライティング・アニメーションなどの工程を担い、ゲーム・映像・広告などに使うCGを作ります。,3DCGソフト、モデリング、テクスチャ、アニメーション、デザインの基礎、表現力,編集部による職種解説
o-0003,ALCパネル施工は、軽量気泡コンクリート（ALC）パネルを壁や床に取り付ける建築施工の仕事です。,ALCパネルを図面に沿って割付け・取付け・固定し、目地やシール処理を行います。軽量で断熱性のある外壁・間仕切りを正確に施工します。,建築施工の技能、ALC・パネルの知識、図面の理解、取付け・シール、安全管理、丁寧さ,編集部による職種解説
o-0004,CADオペレーターは、CADソフトで建築・機械などの図面を作成・修正する職種です。CAD利用技術者などの資格と製図の知識が評価されます。,CADオペレーターは、CADソフトを使って建築・機械などの図面を作成・修正する仕事です。設計者の指示に従って正確に作図し、設計変更や図面管理にも対応します。,CAD操作、製図の知識、図面の読解、正確さ、設計の基礎、コミュニケーション,編集部による職種解説
o-0005,CFO（最高財務責任者）は、企業の財務戦略を統括する経営幹部です。,資金調達・予算・投資・リスク管理など財務全般を統括し、経営戦略の意思決定に財務面から関与します。投資家・金融機関への対応や、管理会計・内部統制の整備も担います。,財務・会計の高度な知識、経営戦略、資金調達・ファイナンス、分析力、リーダーシップ、英語,編集部による職種解説
o-0006,CGデザイナーは、コンピュータグラフィックスでデザイン・画像を制作する職種です。CGクリエイター検定などの資格が活きます。,CGデザイナーは、コンピュータグラフィックスで画像・映像・デザインを制作する仕事です。2D/3Dのツールを使い、ゲーム・広告・映像などの用途に合わせてビジュアルを作り上げます。,CGソフト、デザイン・色彩、画像処理、構図、表現力、トレンドの把握,編集部による職種解説
o-0007,CIO補佐は、企業の情報戦略を担うCIO（最高情報責任者）を補佐する職種です。,IT戦略の立案・推進、システム投資の評価、各部門との調整などを通じてCIOを支えます。経営とITの橋渡し役として、DXや情報化を推進します。,IT戦略、業務・経営の理解、プロジェクト管理、調整力、情報処理の知識、提案力,編集部による職種解説
o-0008,C言語開発者は、C言語でソフトウェアを開発する職種です。C言語の認定試験や情報処理技術者試験が基礎力の証明になります。,C言語開発者は、C言語を使ってソフトウェアや組込みプログラムを開発する仕事です。仕様に沿って設計・コーディング・テストを行い、効率的で正確に動くプログラムを作ります。,C言語、アルゴリズム、デバッグ、メモリ管理、情報処理の基礎、論理的思考,編集部による職種解説
o-0009,DBA（データベース管理者）は、データベースの設計・運用・保守を専門に担う技術者です。,データベースの構築・チューニング・バックアップ・セキュリティ管理を行い、データを安全かつ高速に扱える基盤を維持します。障害対応や容量設計も担います。,SQL、データベース設計、性能チューニング、バックアップ・復旧、セキュリティ、関連資格,編集部による職種解説
o-0010,DTPオペレーターは、DTPソフトで印刷物のレイアウト・組版を行う職種です。DTPやデザインの検定・ソフトスキルが役立ちます。,DTPオペレーターは、DTPソフトで文字や画像をレイアウトし、チラシ・冊子・広告などの印刷データを作成する仕事です。原稿やデザイン指示に沿って組版し、印刷用に正確に仕上げます。,DTPソフト（InDesign等）、組版・レイアウト、文字・印刷の知識、デザインの基礎、正確さ、入稿対応,編集部による職種解説
