occ_id,name,major_category,cert_count,source
o-0193,一般事務,商業・販売・事務,55,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0642,経理事務,会計・金融・経営,46,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0247,会計事務,会計・金融・経営,27,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0807,金融事務,会計・金融・経営,26,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0746,貿易事務,商業・販売・事務,17,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0448,技術士,機械・電気・ものづくり,16,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0328,営業事務,商業・販売・事務,14,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0527,海外営業,語学・コミュニケーション,13,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0560,珠算教室講師,会計・金融・経営,13,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0667,自動車整備士,機械・電気・ものづくり,12,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0248,会計事務所スタッフ,会計・金融・経営,11,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0340,土木作業員,土木・測量・建設,11,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0043,とび職,建築・設備,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0063,オフィスワーク,商業・販売・事務,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0089,システムエンジニア,IT・情報処理,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0475,日本語教師,語学・コミュニケーション,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0561,現場監督,土木・測量・建設,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0711,解体作業員,設備・プラント・機械運転,10,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0180,ライター,語学・コミュニケーション,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0241,企業の税務担当,会計・金融・経営,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0301,医療事務,商業・販売・事務,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0610,税理士補助,会計・金融・経営,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0640,経理・税務事務,会計・金融・経営,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0650,編集・校正スタッフ,語学・コミュニケーション,9,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0037,Webデザイナー,IT・情報処理,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0056,インバウンド接客スタッフ,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0112,データベース管理補助,IT・情報処理,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0113,データ入力・集計スタッフ,商業・販売・事務,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0135,パイロット,運輸・運転・航空,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0151,フライトエンジニア,運輸・運転・航空,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0213,事務職,商業・販売・事務,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0374,宛名・筆耕業務,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0432,建設作業員,建築・設備,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0479,書道教室講師,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0619,筆耕士,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0670,航空会社の運航乗務員,運輸・運転・航空,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0733,語学教師,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0752,賞状書士,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0770,通訳・翻訳者,語学・コミュニケーション,8,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
