slug,pass_rate,applicants,source,note
c-1207,,"約8,000人前後(第一次検定通年)",第三者集計（複数の資格情報サイト一致）,2級電気工事施工管理技士 第一次。5年平均約57.8%。受験者数は前期+後期の推計含む
c-1210,約27%前後(近年・参考),約900人前後(近年・参考),第三者集計（日本データ通信協会統計由来の流通値ほか）,線路。全科目免除者を含む。回により10〜30%台で変動
c-1306,約45%(近年・第一次検定),"約5,000人(第一次検定)",第三者集計（国土交通省発表まとめ・複数サイト一致）,2級建設機械施工技士 第一次。近年42〜47%。受験者数は回で変動
c-1553,約91.8%(2024年度・両級合算平均),,第三者集計（複数の資格情報サイト一致）,Webクリエイター上級。級別合格率は非公表で合算平均。両級とも90%超。累計受験者約20万名
c-1554,約91.8%(2024年度・両級合算平均),,第三者集計（複数の資格情報サイト一致）,Webクリエイター初級。級別合格率は非公表で合算平均
c-1555,3級 約60〜70%/2級 約30〜40%/1級 約10〜20%(近年),,第三者集計（複数サイト一致）,ウェブデザイン技能検定 級別の流通代表値
c-1603,,"約8,100人(令和5年度)",第三者集計（省エネルギーセンターECCJ系まとめ・複数サイト一致）,"エネルギー管理士。令和5年度 受験8,137人・37.8%。近年30〜37%"
c-2407,学科 約8%(近年・代表値),,第三者集計（複数サイト一致）,知的財産管理技能検定1級(最難関)。学科は1桁台
c-2504,1次 約50%/2次 約52%(2024年),"1次 年間約1万人規模／2次 約2,700名(2024年6月)",第三者集計（複数の資格情報サイト一致）,"証券アナリスト(CMA)。第1次(3科目)→第2次。2次2024年6月=受験2,727/合格1,422/52.1%"
c-3503,約10%前後(近年・代表値),,第三者集計（協会公表値を転載する複数サイト一致）,毛筆1級(最難関)。単年公式値でなく近年代表値
c-3504,約50%前後(近年・代表値),,第三者集計（複数サイト一致）,毛筆2級
c-3505,約80%(近年・代表値),,第三者集計（複数サイト一致）,毛筆3級
c-3506,約80%以上(近年・代表値),,第三者集計（複数サイト一致）,毛筆4級
c-3507,約10%(近年・代表値),,第三者集計（複数サイト一致）,硬筆1級。流通値9.7〜10.2%
c-3508,約55%(近年・代表値),,第三者集計（複数サイト一致）,硬筆2級。流通値52.8〜60.3%
c-3509,約71%(近年・代表値),,第三者集計（複数サイト一致）,硬筆3級
c-3510,約85〜89%(近年・代表値),,第三者集計（複数サイト一致）,硬筆4級
c-3627,約40%(商業簿記・会計)/約50%(原価計算・工業簿記)(近年目安),,第三者集計（複数の資格情報サイト一致・幅あり）,全経1級(日商簿記とは別)。科目別合格制。サイト/回で幅が大きい参考値
c-3628,約55%(商業簿記)/約80%(工業簿記)(近年目安),,第三者集計（複数の資格情報サイト一致）,全経2級(日商簿記とは別)。科目別合格制
c-3629,約60〜65%(近年目安),,第三者集計（複数の資格情報サイト一致）,全経3級(日商簿記とは別)。商業簿記単一科目
c-3710,約60〜70%(通年IBT・年度非特定),,第三者集計（複数の資格情報サイト一致）,メディカルクラーク(医療事務技能審査)。学科・実技各70%以上で合格
c-3713,約90%(過去5年平均),,第三者集計（複数の資格情報サイト一致）,医療事務検定試験(日本医療事務協会)。参考:2022年 90.5%
c-4402,約60%(平均・年度非特定),,第三者集計（複数の資格情報サイト一致）,調理技術技能評価試験。実技約70%・学科約50%。近年実績39.3〜55.8%と変動
c-4403,約60%(全国目安・自治体差大),,第三者集計（複数の資格情報サイト一致）,都道府県免許で制度差大(講習のみで取得可の自治体もあり)。参考:東京都 令和6年度44.8%
c-5008,約36.3%(令和6年度),"約4,957人(令和6年度)",第三者集計（総務省 無線従事者試験実施結果 gt020406.xls 由来の流通値）,"令和6年度 申請6,318/実受験4,957/合格1,801。公式現物照合待ち"
c-5009,約75%前後(近年・参考),,第三者集計（複数の資格情報サイト一致）,CBT通年方式。近年 約73〜85%で推移。単年度確定値なし
c-5010,約85%前後(近年・参考),,第三者集計（複数の資格情報サイト一致）,CBT通年方式。近年 約79〜90%。養成課程主体
c-5011,約20%前後(参考・変動大),,第三者集計（複数の資格情報サイト言及）,標本が小さく年度により約5〜24%と変動。信頼度低
c-5813,約86%(令和6年度第2回・学科),,第三者集計（複数の資格情報サイト＋自動車整備振興会由来の流通値が一致）,学科(筆記)ベース。年2回実施で第1回は大幅に低い。実技は別で20〜30%程度
c-5814,約94%(令和6年度第2回・学科),,第三者集計（複数の資格情報サイト＋自動車整備振興会由来の流通値が一致）,学科(筆記)ベース。第2回の値。実技は約20〜30%と異なる
