slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at,name,major_category,type,search_query
c-3901,,,,,,,,,CS試験(ワープロ部門)1級,IT・情報処理,要確認,CS試験(ワープロ部門)1級 受験料 受験資格 公式
c-3902,,,,,,,,,CS試験(ワープロ部門)2級,IT・情報処理,要確認,CS試験(ワープロ部門)2級 受験料 受験資格 公式
c-3903,,,,,,,,,CS試験(ワープロ部門)3級,IT・情報処理,要確認,CS試験(ワープロ部門)3級 受験料 受験資格 公式
c-3922,,,,,,,,,CS試験(情報セキュリティ部門),IT・情報処理,要確認,CS試験(情報セキュリティ部門) 受験料 受験資格 公式
c-3904,,,,,,,,,CS試験(表計算部門)1級,IT・情報処理,要確認,CS試験(表計算部門)1級 受験料 受験資格 公式
c-3905,,,,,,,,,CS試験(表計算部門)2級,IT・情報処理,要確認,CS試験(表計算部門)2級 受験料 受験資格 公式
c-3906,,,,,,,,,CS試験(表計算部門)3級,IT・情報処理,要確認,CS試験(表計算部門)3級 受験料 受験資格 公式
c-3849,,,,,,,,,Excel表計算処理技能認定試験1級,IT・情報処理,要確認,Excel表計算処理技能認定試験1級 受験料 受験資格 公式
c-3850,,,,,,,,,Excel表計算処理技能認定試験2級,IT・情報処理,要確認,Excel表計算処理技能認定試験2級 受験料 受験資格 公式
c-3851,,,,,,,,,Excel表計算処理技能認定試験3級,IT・情報処理,要確認,Excel表計算処理技能認定試験3級 受験料 受験資格 公式
c-3847,,,,,,,,,PowerPointプレゼン技能認定試験,IT・情報処理,要確認,PowerPointプレゼン技能認定試験 受験料 受験資格 公式
c-3852,,,,,,,,,Word文書処理技能認定試験1級,IT・情報処理,要確認,Word文書処理技能認定試験1級 受験料 受験資格 公式
c-3853,,,,,,,,,Word文書処理技能認定試験2級,IT・情報処理,要確認,Word文書処理技能認定試験2級 受験料 受験資格 公式
c-3854,,,,,,,,,Word文書処理技能認定試験3級,IT・情報処理,要確認,Word文書処理技能認定試験3級 受験料 受験資格 公式
c-3837,,,,,,,,,パソコン[ワープロ]可,IT・情報処理,要確認,パソコン[ワープロ]可 受験料 受験資格 公式
c-3836,,,,,,,,,パソコン[ワープロ・表計算]可,IT・情報処理,要確認,パソコン[ワープロ・表計算]可 受験料 受験資格 公式
